variant,cases,mean_par,total_transmit,mean_transmit,mean_par_ratio_vs_ds_eplb_1024,mean_transmit_ratio_vs_ds_eplb_1024,mean_par_improvement_vs_default
Default,16,3.2467638454403063,0,0.0,0.6193101027871183,0.0,0.0
DS-EPLB@256:layers=all,16,1.5120241819652311,6151924,384495.25,1.2021783074174008,3.595717978503608,0.47447460388616725
DS-EPLB@512:layers=all,16,1.694187506046657,3449713,215607.0625,1.079326399398708,1.9989440522372384,0.4215231983634195
DS-EPLB@1024:layers=all,16,1.8555327194497813,1725811,107863.1875,1.0,1.0,0.38068989721288155
DS-EPLB@2048:layers=all,16,2.228625097647474,684565,42785.3125,0.8683631501200224,0.39670035538534926,0.2883061445898091
DS-EPLB@4096:layers=all,16,2.798582829254284,347543,21721.4375,0.7091128765100725,0.20140533274396613,0.13103620859431825
