dataset,model,ep,variant,collection_interval,max_layers_per_cycle,mean_par,transmit_amount,runtime_seconds,par_ratio_vs_ds_eplb_1024,transmit_ratio_vs_ds_eplb_1024,par_improvement_vs_default,extra_transmit_per_par_point,matches_existing_ds_eplb_1024
ShareGPT,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,1.5478013883154154,36372,4.532723903656006,0.9249298636896236,0.3959934676102341,0.28482874215640785,59003.55660818791,
ShareGPT,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,1.8620856038751936,18465,3.6398980617523193,0.7688195022472989,0.2010342950462711,0.1396117657025338,61111.383041449524,
ShareGPT,DS-R1,128,Default,0,all,3.1179751597299274,0,2.779572010040283,0.548284786318119,0.0,0.0,0.0,
ShareGPT,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.4525809579985676,395750,33.184523582458496,1.1768971187349215,3.5953739370593794,0.5341268343765807,237631.42659472124,
ShareGPT,DS-R1,128,DS-EPLB@512:layers=all,512,all,1.635922274489301,220339,19.733680963516235,1.0449997355353613,2.001771567701141,0.4753254305492924,148671.4827752086,
ShareGPT,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,1.7095383441977263,110072,11.365327835083008,1.0,1.0,0.45171521368188094,78151.89065361621,False
ShareGPT,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,1.9418083515782285,43549,6.289157152175903,0.8803846902853611,0.395641034958936,0.377221352928795,37026.2106515619,
ShareGPT,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,2.5382123390324,22192,4.65930700302124,0.6735206183929532,0.20161348935242387,0.18594209093947536,38277.721867884255,
ShareGPT,DS-R1,256,Default,0,all,5.028073067487092,0,2.534778118133545,0.4334446251452639,0.0,0.0,0.0,
ShareGPT,DS-R1,256,DS-EPLB@256:layers=all,256,all,1.7080716240163554,498293,59.87058711051941,1.2759366851463316,3.3911785923314595,0.6602929987113318,150088.18775665452,
ShareGPT,DS-R1,256,DS-EPLB@512:layers=all,512,all,2.011829068011804,293943,36.362231969833374,1.0832884764378765,2.000455974628755,0.599880701610952,97453.32275874726,
ShareGPT,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,2.17939124593994,146938,19.8623468875885,1.0,1.0,0.5665553748547362,51581.05018558943,False
ShareGPT,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,2.680967271557459,58173,10.06179690361023,0.812912290672561,0.3959016728143843,0.46680025616705273,24784.99269222717,
ShareGPT,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,3.8806158316701618,29578,6.710824012756348,0.5616096363246451,0.20129578461664102,0.22821013545660376,25776.995496430838,
WildChat,DS-R1,32,Default,0,all,1.5918934689335966,0,2.6255381107330322,0.779330304586329,0.0,0.0,0.0,
WildChat,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.1660626301477193,312439,12.006141901016235,1.0639315504484046,3.7915513810009225,0.26749958279000907,733716.2355146037,
WildChat,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.2283961521637812,164995,7.611280918121338,1.0099435917539392,2.0022693073151787,0.2283427401792916,453909.81552824785,
WildChat,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.2406108220130077,82404,5.122144937515259,1.0,1.0,0.22066969541367104,234580.33216946313,False
WildChat,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.295289821268765,32554,3.660153865814209,0.9577862819903904,0.39505363817290423,0.1863212918786113,109755.89901303808,
WildChat,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,1.4421437068830445,16638,3.1864161491394043,0.8602546445904362,0.2019076743847386,0.09407021573552213,111105.35183610769,
WildChat,DS-R1,64,Default,0,all,2.059677222134155,0,2.6375792026519775,0.6813226697659021,0.0,0.0,0.0,
WildChat,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.2745949710044921,333296,19.605854272842407,1.1009809514112021,3.6319414174875773,0.3811676133973031,424536.4094276964,
WildChat,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.375808996356579,183785,11.633347272872925,1.019985177852954,2.0027133641356465,0.3320268916063358,268743.29450097156,
WildChat,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,1.4033047838404593,91768,7.183828115463257,1.0,1.0,0.31867733023409794,139810.8674985804,False
WildChat,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,1.5077281452646032,36346,4.58427095413208,0.9307412534865045,0.3960639874466045,0.26797843416340944,65850.27772152622,
WildChat,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,1.7811889340568925,18505,3.6632449626922607,0.7878472390035839,0.20164981257083078,0.1352096751299235,66448.03674783648,
WildChat,DS-R1,128,Default,0,all,2.9456743024412866,0,2.768122911453247,0.5653088247672592,0.0,0.0,0.0,
WildChat,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.430446890888845,395829,33.3773410320282,1.1641226868796752,3.5944915138801865,0.51439068137868,261234.05436181318,
WildChat,DS-R1,128,DS-EPLB@512:layers=all,512,all,1.6037122390294796,220390,20.05887508392334,1.0383506701102065,2.0013439761716656,0.4555704146584125,164229.679816492,
WildChat,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,1.6652156780601999,110121,11.437046766281128,1.0,1.0,0.43469117523274076,86001.21698834845,False
WildChat,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,1.8754664997885921,43517,6.364030122756958,0.8878941203417431,0.39517439907011376,0.3633150487023424,40662.19653055754,
WildChat,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,2.408051647106129,22174,4.653855562210083,0.6915199182132864,0.20136032182780758,0.1825125930893283,41244.54165008463,
WildChat,DS-R1,256,Default,0,all,4.6960766849061155,0,2.5264720916748047,0.4478592070898346,0.0,0.0,0.0,
WildChat,DS-R1,256,DS-EPLB@256:layers=all,256,all,1.6702417338022288,498416,59.79295992851257,1.2592076571738609,3.393008611593315,0.6443325256653852,164720.15428936982,
WildChat,DS-R1,256,DS-EPLB@512:layers=all,512,all,1.957208474236326,294022,36.514167070388794,1.0745820939467077,2.001579359406379,0.583224762805283,107351.64213253511,
WildChat,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,2.103181180535112,146895,20.11070418357849,1.0,1.0,0.5521407929101654,56652.880824688094,False
WildChat,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,2.551586947152973,58057,10.076283931732178,0.8242639675210025,0.395227883862623,0.4566556045913495,27072.64062770865,
WildChat,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,3.6292306024314733,29595,6.685625076293945,0.5795115854930918,0.20147043806800777,0.2271781646802411,27740.646458907948,
LmSys,DS-R1,32,Default,0,all,1.6302342939586727,0,2.5530428886413574,0.7737706220449972,0.0,0.0,0.0,
LmSys,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.1739562533130021,312436,11.92403793334961,1.0745097188720927,3.790732944273911,0.2798849480326522,684749.1489134073,
LmSys,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.2403100570155305,164900,7.537122011184692,1.0170258610583,2.000703704153068,0.23918294345059762,422902.66768937814,
LmSys,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.2614274037154891,82421,5.125139951705933,1.0,1.0,0.22622937795500273,223480.09806881132,False
LmSys,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.3124254980628764,32535,3.641575813293457,0.9611421033630786,0.3947416313803521,0.19494670003786146,102372.87457162651,
LmSys,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,1.4735966239775495,16630,3.170403003692627,0.8560194718081189,0.2017689666468497,0.09608291922307825,106168.58640711475,
LmSys,DS-R1,64,Default,0,all,2.120291748439436,0,2.6387598514556885,0.6749937984862128,0.0,0.0,0.0,
LmSys,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.2865341713779015,333275,19.642436981201172,1.1124335544428523,3.6232238565821944,0.393227761073537,399726.5022461115,
LmSys,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.3951561024709251,183715,11.685965061187744,1.0258234033047453,1.9972712349021016,0.3419980512126318,253352.59826404648,
LmSys,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,1.4311837811781085,91983,7.204590082168579,1.0,1.0,0.32500620151378723,133481.26036847525,False
LmSys,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,1.534266572588882,36231,4.5551230907440186,0.9328129848799128,0.3938880010436711,0.2763889338728393,61824.98891351297,
LmSys,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,1.832942329201814,18490,3.647149085998535,0.7808122265370683,0.20101540502049292,0.1355235285187122,64346.74567659312,
LmSys,DS-R1,128,Default,0,all,3.0539074165725886,0,2.7701449394226074,0.5620433505312168,0.0,0.0,0.0,
LmSys,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.4511420657767178,395940,33.36465883255005,1.1828120740913668,3.592824151792601,0.524824473099011,247035.53754976773,
LmSys,DS-R1,128,DS-EPLB@512:layers=all,512,all,1.6301936012686806,220496,19.929209232330322,1.0528984749337738,2.0008166746821776,0.4661941640987097,154873.82199275255,
LmSys,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,1.7164283566225902,110203,11.367802143096924,1.0,1.0,0.43795664946878315,82396.0563570393,False
LmSys,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,1.915614232918369,43359,6.362920045852661,0.896019839029737,0.39344663938368285,0.37273336364981563,38091.24101121843,
LmSys,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,2.5001558577868224,22188,4.657102823257446,0.6865285423213574,0.20133753164614393,0.18132558825481473,40068.51023345657,
LmSys,DS-R1,256,Default,0,all,4.902940459335534,0,2.544732093811035,0.4439863824490499,0.0,0.0,0.0,
LmSys,DS-R1,256,DS-EPLB@256:layers=all,256,all,1.6923411443751748,498360,59.538069009780884,1.28628840889357,3.3918884888413974,0.6548313897728777,155223.35586312588,
LmSys,DS-R1,256,DS-EPLB@512:layers=all,512,all,1.9970990373497488,293942,36.496416091918945,1.0900004242114312,2.0005989368870254,0.5926732021501229,101155.55438642166,
LmSys,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,2.176838797903467,146927,19.903080940246582,1.0,1.0,0.5560136175509501,53896.37594176028,False
LmSys,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,2.623428871926336,57843,9.970476627349854,0.829768560222124,0.393685299502474,0.46492744635902156,25375.172611314534,
LmSys,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,3.800167064384517,29578,6.715082883834839,0.5728271312871958,0.20131085505046725,0.22492082131066088,26821.46679945411,
Mix,DS-R1,32,Default,0,all,2.095069640321471,0,2.4842751026153564,0.7691221348279845,0.0,0.0,0.0,
Mix,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.3432192009686896,310257,11.882688045501709,1.1996287971578128,3.756911228703244,0.3588665621813966,412657.86885365105,
Mix,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.436017050273025,164511,7.7084269523620605,1.1221067563724152,1.9920685855442404,0.31457311841305663,249617.40911739232,
Mix,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.6113644343773474,82583,4.970698118209839,1.0,1.0,0.2308778651720155,170730.02106481313,False
Mix,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.8597410698129295,33207,3.5910298824310303,0.8664455824161768,0.4021045493624596,0.11232493945758877,141109.08814956114,
Mix,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,2.0452770230793695,16653,3.0312767028808594,0.7878465441083755,0.20165167165155057,0.023766569036082843,334447.1715360902,
Mix,DS-R1,64,Default,0,all,2.9265259473287464,0,2.5592050552368164,0.7018837136561805,0.0,0.0,0.0,
Mix,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.5732590115795961,331080,19.507285118103027,1.3056215695595585,3.6013183514080906,0.46241412517950703,244652.39728680623,
Mix,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.7212929559764891,183297,11.485789775848389,1.193336028530363,1.9938107099735678,0.4118306186392645,152084.2868683365,
Mix,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,2.054080900022272,91933,7.0277721881866455,1.0,1.0,0.29811628634381954,105373.97201557567,False
Mix,DS-R1,64,DS-EPLB@2048:layers=all,2048,all,2.5241398460890094,36849,4.388038158416748,0.8137746025462642,0.40082451350439996,0.1374961672924937,91576.22464212748,
Mix,DS-R1,64,DS-EPLB@4096:layers=all,4096,all,2.832993267065332,18475,3.534723997116089,0.7250567531881476,0.20096156983890442,0.03196031128607908,197524.54380617797,
Mix,DS-R1,128,Default,0,all,4.516159215163729,0,2.795233964920044,0.6001058053052083,0.0,0.0,0.0,
Mix,DS-R1,128,DS-EPLB@256:layers=all,256,all,1.9599182006023927,394458,37.3469979763031,1.3827992218600647,3.5726978778903895,0.5660210131605518,154311.74046305293,
Mix,DS-R1,128,DS-EPLB@512:layers=all,512,all,2.2363230981798794,219859,24.71730399131775,1.2118881054835724,1.9913141138856434,0.5048174805992078,96436.31766430057,
Mix,DS-R1,128,DS-EPLB@1024:layers=all,1024,all,2.710173362702367,110409,15.10775899887085,1.0,1.0,0.39989419469479165,61135.030404321595,False
Mix,DS-R1,128,DS-EPLB@2048:layers=all,2048,all,3.6461910697416453,44272,8.78073000907898,0.7432889036433297,0.4009818040195999,0.1926345161838019,50889.219603001104,
Mix,DS-R1,128,DS-EPLB@4096:layers=all,4096,all,4.310050241290655,22175,7.4716269969940186,0.6288031950854472,0.2008441340832722,0.04563811062750607,107588.71670311592,
Mix,DS-R1,256,Default,0,all,7.4558534398865595,0,3.2732648849487305,0.5012374712872869,0.0,0.0,0.0,
Mix,DS-R1,256,DS-EPLB@256:layers=all,256,all,2.5507314965779995,495360,65.33227014541626,1.4651299556660644,3.370850742409189,0.6578887290176121,100988.31501544162,
Mix,DS-R1,256,DS-EPLB@512:layers=all,512,all,3.0040322862535205,292778,37.64068293571472,1.244045592185745,1.992310518937899,0.5970907542008731,65765.89442751309,
Mix,DS-R1,256,DS-EPLB@1024:layers=all,1024,all,3.7371531244973584,146954,20.354815006256104,1.0,1.0,0.49876252871271315,39517.5699939724,False
Mix,DS-R1,256,DS-EPLB@2048:layers=all,2048,all,5.525743654117654,59020,10.213438272476196,0.6763167744331607,0.4016222763585884,0.25887174437246885,30578.571454933048,
Mix,DS-R1,256,DS-EPLB@4096:layers=all,4096,all,6.957766919563658,29567,6.814805030822754,0.5371196200880679,0.20119901465764797,0.06680476277313738,59361.172795505816,
