variant,cases,expected_composite_score,mean_modeled_runtime_seconds,min_case_score,max_case_score
Default,16,68.01746541873709,194.80583072641835,48.111164313008246,86.37647649362677
DS-EPLB@256:layers=all,16,93.12721395929765,128.3508834358872,82.05715118846781,118.40373249879664
DS-EPLB@512:layers=all,16,97.98605114175682,122.75208687181272,91.81975462957362,114.2252524026894
DS-EPLB@1024:layers=all,16,100.0,121.88821980528022,99.99999999999999,100.00000000000001
DS-EPLB@2048:layers=all,16,92.26469627104304,137.90478003058178,70.73717191916136,102.22424052073427
DS-EPLB@4096:layers=all,16,76.81901252975979,170.04078370640374,56.76357077549572,93.58457071486693
