model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
Qwen3,32,"adam(b1=0.999,b2=0.9999)-lam=-1.0-topk=10-th=0.0",1.288529,57792,82.967671,1.282963,19424,78.878730,1.279670,105.183832
Qwen3,32,"adam(b1=0.999,b2=0.9999)-lam=0.0-topk=10-th=0.0",1.288529,57792,82.967671,1.282434,19411,78.845713,1.296183,105.227879
Qwen3,32,"adam(b1=0.999,b2=0.9999)-lam=1.0-topk=10-th=0.0",1.288529,57792,82.967671,1.282399,19385,78.841111,1.231261,105.234021
