model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.288529,57792,82.967671,1.927268,409,115.676118,1.035535,71.724114
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.531796,69973,98.755809,2.705107,499,162.355249,0.575196,60.826989
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.852714,92894,120.254113,4.065134,624,243.969127,0.494725,49.290709
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.257790,82489,83.540334,1.533092,1036,92.086939,2.705813,90.718982
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.425022,91892,94.494542,1.929688,1160,115.894804,1.030957,81.534753
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.691569,110046,112.264005,2.689954,1373,161.531637,0.940620,69.499701
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,2.119932,146768,141.559682,4.174270,1756,250.628039,0.782288,56.481981
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.288529,57792,82.967671,1.901393,633,114.145532,1.061117,72.685868
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.531796,69973,98.755809,2.661096,749,159.739050,0.581397,61.823211
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=3_threshold=0.0,1.852714,92894,120.254113,3.992535,938,239.643909,0.504432,50.180333
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.257790,82489,83.540334,1.512795,1397,90.904432,1.900493,91.899077
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.425022,91892,94.494542,1.888909,1555,113.486738,0.977585,83.264832
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.691569,110046,112.264005,2.614211,1797,157.028557,0.762824,71.492732
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,2.119932,146768,141.559682,4.012971,2352,241.008426,0.782435,58.736404
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.288529,57792,82.967671,1.878346,840,112.782970,1.067376,73.564006
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.531796,69973,98.755809,2.618986,1002,157.237206,0.578396,62.806897
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=4_threshold=0.0,1.852714,92894,120.254113,3.923413,1250,235.527139,0.497703,51.057434
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.257790,82489,83.540334,1.496557,1754,89.965094,1.876157,92.858608
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.425022,91892,94.494542,1.854838,1939,111.480026,1.059854,84.763652
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.691569,110046,112.264005,2.543482,2251,152.829236,0.938246,73.457153
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,2.119932,146768,141.559682,3.881181,2931,233.157691,0.961145,60.714138
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.288529,57792,82.967671,1.855852,1045,111.453407,1.166102,74.441575
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.531796,69973,98.755809,2.577390,1246,154.765369,0.645107,63.810018
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=5_threshold=0.0,1.852714,92894,120.254113,3.859914,1559,231.747443,0.542063,51.890157
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=0.99_cov_source=window_pin_hottest=False_k=None_threshold=0.0,1.257790,82489,83.540334,1.252904,17783,76.914621,2.407910,108.614374
